"Cell Type","Cx","Cy","vtkOriginalCellIds"
12,6.038335800170898,2.512527465820312,3893
12,5.043529510498047,2.496097564697266,3904
12,3.956445932388306,2.496031522750854,3916
12,2.961621046066284,2.512311220169067,3927
12,7.027054786682129,2.505056142807007,4080
12,1.972880005836487,2.50464391708374,4136
12,8.033513069152832,2.50957465171814,4366
12,0.9670303463935852,2.509174108505249,4444
12,5.041604995727539,1.51736319065094,6775
12,3.958342313766479,1.517220020294189,6787
12,6.030210494995117,1.515622138977051,6863
12,2.969671487808228,1.51507043838501,6897
12,7.002717971801758,1.508939146995544,7149
12,1.997011303901672,1.507581233978271,7205
12,8.01640796661377,1.519177913665771,7831
12,0.9848069548606873,1.516684174537659,7909
12,5.043453693389893,0.5102213621139526,9844
12,3.956517457962036,0.510138988494873,9856
12,6.037002563476562,0.5097929239273071,9932
12,2.962907075881958,0.5093940496444702,9966
12,7.015503406524658,0.5131292343139648,10317
12,1.984049081802368,0.5111448764801025,10373
12,0.9641872048377991,0.5281027555465698,13651
12,8.036935806274414,0.5259634852409363,13771
